日期,縣市,住宅部門售電量(度),住宅部門用電佔比(%),服務業部門售電量(度),服務業部門用電佔比(%) ,機關用電售電量(度),機關用電用電佔比(%),農林漁牧售電量(度),農林漁牧用電佔比(%),合計售電量(度),縣市用電佔比(%)
2019年02月,基隆市,54170272,0.624,27166754,0.313,5456061,0.0629,13885,0.0002,86806972,1.361166904
2019年02月,新竹市,61414056,0.4471,61463444,0.4475,13764721,0.1002,710398,0.0052,137352619,2.153742204
2019年02月,嘉義市,34908284,0.4894,31112831,0.4362,4704718,0.066,608910,0.0085,71334743,1.118556368
2019年02月,澎湖縣,11012280,0.518,6465137,0.3041,3465452,0.163,315178,0.0148,21258047,0.333334401
2019年02月,金門縣,7007078,0.4622,5095707,0.3361,2898744,0.1912,158055,0.0104,15159584,0.237708142
2019年02月,連江縣,1435383,0.3882,1445641,0.391,809918,0.219,6646,0.0018,3697588,0.05797961
2019年02月,合計,3144858584,0.4931,2555067611,0.4006,458487544,0.0719,218979931,0.0343,6377393670,100
2019年01月,新北市,546968519,0.5217,449936192,0.4291,49338418,0.0471,2291690,0.0022,1048534819,15.37240861
2019年01月,台北市,353301975,0.3319,600695395,0.5642,110061367,0.1034,547503,0.0005,1064606240,15.60802926
2019年01月,桃園市,288338645,0.4762,267763640,0.4422,46365076,0.0766,3046021,0.005,605513382,8.877339082
2019年01月,台中市,393766581,0.4531,406287920,0.4675,56039218,0.0645,12946116,0.0149,869039835,12.7408601
2019年01月,台南市,256565422,0.505,186564581,0.3672,38504560,0.0758,26378946,0.0519,508013509,7.447908356
2019年01月,高雄市,427119360,0.5066,322958115,0.3831,73299699,0.0869,19712225,0.0234,843089399,12.36040473
2019年01月,宜蘭縣,61343762,0.492,46897811,0.3761,12190817,0.0978,4253071,0.0341,124685461,1.827994473
2019年01月,新竹縣,74631594,0.5279,53705839,0.3799,11681476,0.0826,1344495,0.0095,141363404,2.072507245
2019年01月,苗栗縣,70785227,0.563,41461520,0.3297,11508155,0.0915,1982621,0.0158,125737523,1.843418594
2019年01月,彰化縣,160477286,0.5152,98221827,0.3154,21864648,0.0702,30900840,0.0992,311464601,4.566334878
2019年01月,南投縣,57698248,0.5063,37762602,0.3314,10398368,0.0913,8090222,0.071,113949440,1.670595312
2019年01月,雲林縣,90130428,0.5105,46319680,0.2623,13903129,0.0787,26215468,0.1485,176568705,2.588646778
2019年01月,嘉義縣,63503793,0.5228,28637689,0.2358,11923644,0.0982,17394560,0.1432,121459686,1.78070188
2019年01月,屏東縣,120391820,0.4645,61497659,0.2373,18348179,0.0708,58930943,0.2274,259168601,3.79963122
2019年01月,台東縣,26409506,0.4787,20562690,0.3727,6356291,0.1152,1836771,0.0333,55165258,0.80876941
2019年01月,花蓮縣,42203419,0.4459,37586148,0.3971,13368511,0.1413,1482542,0.0157,94640620,1.387511655
2019年01月,基隆市,45100547,0.5511,30296183,0.3702,6439414,0.0787,7837,0.0001,81843981,1.199902088
2019年01月,新竹市,67884777,0.4456,66955620,0.4395,16809388,0.1103,695292,0.0046,152345077,2.233507873
2019年01月,嘉義市,35327399,0.4628,35141691,0.4604,5366032,0.0703,501380,0.0066,76336502,1.11915778
2019年01月,澎湖縣,12806301,0.4983,8966464,0.3489,3612338,0.1405,316658,0.0123,25701761,0.376809587
2019年01月,金門縣,8678576,0.4772,6398028,0.3518,2969213,0.1633,139012,0.0076,18184829,0.266604997
2019年01月,連江縣,1211683,0.3486,1393979,0.4011,863852,0.2485,6144,0.0018,3475658,0.05095609
2019年01月,合計,3204644868,0.4698,2856011273,0.417,541211793,0.0793,219020357,0.0321,6820888291,100
2018年12月,新北市,558134870,0.5286,441587075,0.4182,54517677,0.0516,1679745,0.0016,1055919367,14.81156759
2018年12月,台北市,352557853,0.3266,608178524,0.5633,117388745,0.1087,1494096,0.0014,1079619218,15.14400959
2018年12月,桃園市,340668647,0.4981,290564590,0.4249,49911355,0.073,2734549,0.004,683879141,9.592893586
2018年12月,台中市,412876859,0.4446,442353304,0.4763,60439395,0.0651,13046307,0.014,928715865,13.02726159
2018年12月,台南市,277107712,0.495,208541974,0.3725,41881694,0.0748,32338645,0.0578,559870025,7.853395798
2018年12月,高雄市,367422644,0.4466,355300354,0.4318,79001230,0.096,21066832,0.0256,822791060,11.54143563
2018年12月,宜蘭縣,62620528,0.4947,46319153,0.3659,12589682,0.0995,5051693,0.0399,126581056,1.775574846
2018年12月,新竹縣,84810364,0.5171,65633312,0.4002,12130789,0.074,1438851,0.0088,164013316,2.300643773
2018年12月,苗栗縣,63551062,0.526,43067899,0.3565,11879082,0.0983,2322726,0.0192,120820769,1.694774282
2018年12月,彰化縣,166195320,0.4854,117077549,0.3419,23304883,0.0681,35822028,0.1046,342399780,4.802902233
2018年12月,南投縣,71710086,0.5181,44879278,0.3243,11734276,0.0848,10076003,0.0728,138399643,1.941356254
2018年12月,雲林縣,93079696,0.4957,48157321,0.2565,14399029,0.0767,32130152,0.1711,187766198,2.633829647
2018年12月,嘉義縣,61477725,0.4958,30288550,0.2443,11927076,0.0962,20305191,0.1638,123998542,1.739349465
2018年12月,屏東縣,114974616,0.4408,63971991,0.2453,19507824,0.0748,62389079,0.2392,260843510,3.658898019
2018年12月,台東縣,30588796,0.4925,21992186,0.3541,6746297,0.1086,2779491,0.0448,62106770,0.87118264
2018年12月,花蓮縣,47845240,0.4674,38006795,0.3713,13780886,0.1346,2729776,0.0267,102362697,1.435859643
2018年12月,基隆市,52450522,0.5765,31570981,0.347,6956310,0.0765,3178,0,90980991,1.276206442
2018年12月,新竹市,61258378,0.3941,77178549,0.4965,16358844,0.1052,641411,0.0041,155437182,2.180344825
2018年12月,嘉義市,37172903,0.4668,35988648,0.4519,5988035,0.0752,489441,0.0061,79639027,1.117110708
2018年12月,澎湖縣,11800442,0.4971,7498582,0.3159,4111450,0.1732,328409,0.0138,23738883,0.332989508
2018年12月,金門縣,6392402,0.4069,5794155,0.3688,3361895,0.214,162012,0.0103,15710464,0.220373455
2018年12月,連江縣,1174019,0.3428,1398961,0.4085,829938,0.2423,21896,0.0064,3424814,0.048040471
2018年12月,合計,3275870684,0.4595,3025349731,0.4244,578746392,0.0812,249051511,0.0349,7129018318,100
2018年11月,新北市,660194791,0.5395,505726669,0.4132,56188717,0.0459,1669056,0.0014,1223779233,15.3362157
2018年11月,台北市,432908548,0.3529,669675046,0.5459,122590340,0.0999,1513364,0.0012,1226687298,15.37265913
2018年11月,桃園市,320851901,0.4735,302295934,0.4461,51797122,0.0764,2723109,0.004,677668066,8.492433403
2018年11月,台中市,480507166,0.4591,488236155,0.4665,64049557,0.0612,13745147,0.0131,1046538025,13.11505577
2018年11月,台南市,313798803,0.5158,215574043,0.3544,44531924,0.0732,34429011,0.0566,608333781,7.623546661
2018年11月,高雄市,529774772,0.526,370922715,0.3683,85165664,0.0846,21288544,0.0211,1007151695,12.62147226
2018年11月,宜蘭縣,68110648,0.4873,52972099,0.379,13189696,0.0944,5494325,0.0393,139766768,1.751535934
2018年11月,新竹縣,86270637,0.5255,63746074,0.3883,12691230,0.0773,1465382,0.0089,164173323,2.057395179
2018年11月,苗栗縣,83871202,0.5705,48267632,0.3283,12385428,0.0843,2483193,0.0169,147007455,1.842275125
2018年11月,彰化縣,191299122,0.515,118421328,0.3188,24311925,0.0655,37414238,0.1007,371446613,4.654912607
2018年11月,南投縣,63845993,0.4963,42847659,0.3331,11371289,0.0884,10580024,0.0822,128644965,1.612159186
2018年11月,雲林縣,109978604,0.5137,55358243,0.2586,15516011,0.0725,33220392,0.1552,214073250,2.682733495
2018年11月,嘉義縣,75322248,0.5219,33341616,0.231,13808300,0.0957,21849734,0.1514,144321898,1.808620133
2018年11月,屏東縣,139150931,0.4789,68828065,0.2369,20795573,0.0716,61790962,0.2127,290565531,3.641323157
2018年11月,台東縣,29722660,0.4779,22717101,0.3653,7078947,0.1138,2677090,0.043,62195798,0.779428306
2018年11月,花蓮縣,48527771,0.4524,41122110,0.3834,14841595,0.1384,2773414,0.0259,107264890,1.34422733
2018年11月,基隆市,51723569,0.5587,33724585,0.3643,7132929,0.077,4125,0,92585208,1.160263782
2018年11月,新竹市,80186863,0.4382,83176609,0.4546,18894795,0.1033,712844,0.0039,182971111,2.292966207
2018年11月,嘉義市,42604765,0.4735,40584513,0.4511,6270328,0.0697,511147,0.0057,89970753,1.127499828
2018年11月,澎湖縣,14990224,0.4979,10747116,0.357,4045583,0.1344,323216,0.0107,30106139,0.377285567
2018年11月,金門縣,9786635,0.4663,7727825,0.3682,3296308,0.1571,175245,0.0084,20986013,0.262993531
2018年11月,連江縣,1176290,0.3428,1400821,0.4083,834046,0.2431,19917,0.0058,3431074,0.042997699
2018年11月,合計,3834604143,0.4805,3277413958,0.4107,610787307,0.0765,256863479,0.0322,7979668887,100
2018年10月,新北市,825119106,0.5865,520825233,0.3702,59070650,0.042,1773700,0.0013,1406788689,15.97025707
2018年10月,台北市,529432290,0.3905,697625321,0.5146,126981505,0.0937,1588424,0.0012,1355627540,15.38946146
2018年10月,桃園市,474954228,0.547,338343006,0.3897,51700592,0.0595,3240366,0.0037,868238192,9.856481812
2018年10月,台中市,548774998,0.4874,497886140,0.4422,64932162,0.0577,14300421,0.0127,1125893721,12.78145915
2018年10月,台南市,355872040,0.5287,236210833,0.3509,44194002,0.0657,36873329,0.0548,673150204,7.641788628
2018年10月,高雄市,449232537,0.476,385282472,0.4083,87899514,0.0931,21278743,0.0225,943693266,10.71306883
2018年10月,宜蘭縣,87846538,0.5469,53780821,0.3348,12550856,0.0781,6455883,0.0402,160634098,1.823563027
2018年10月,新竹縣,122178586,0.5772,75671133,0.3575,12118689,0.0572,1717240,0.0081,211685648,2.403114443
2018年10月,苗栗縣,90315999,0.5825,50095070,0.3231,12143985,0.0783,2480834,0.016,155035888,1.760010587
2018年10月,彰化縣,223727824,0.5306,132541586,0.3144,23948541,0.0568,41407060,0.0982,421625011,4.786404573
2018年10月,南投縣,84957128,0.5399,49225753,0.3128,12122355,0.077,11052868,0.0702,157358104,1.78637303
2018年10月,雲林縣,119569436,0.5312,54521362,0.2422,14762991,0.0656,36254850,0.1611,225108639,2.555495976
2018年10月,嘉義縣,76980414,0.5225,33709064,0.2288,13095746,0.0889,23535781,0.1598,147321005,1.672429086
2018年10月,屏東縣,133545165,0.4699,69984028,0.2462,20072309,0.0706,60623788,0.2133,284225290,3.226604666
2018年10月,台東縣,38316964,0.5202,25525306,0.3466,7264987,0.0986,2546987,0.0346,73654244,0.836143495
2018年10月,花蓮縣,63769631,0.5131,43479504,0.3498,14120162,0.1136,2918189,0.0235,124287486,1.410946163
2018年10月,基隆市,76044488,0.6283,37648597,0.311,7345129,0.0607,2907,0,121041121,1.374092523
2018年10月,新竹市,91117420,0.4525,89765109,0.4458,19727364,0.098,767765,0.0038,201377658,2.286095269
2018年10月,嘉義市,48312572,0.4987,41323681,0.4265,6715569,0.0693,531993,0.0055,96883815,1.099852056
2018年10月,澎湖縣,15458509,0.5116,9839134,0.3256,4471690,0.148,446153,0.0148,30215486,0.343014614
2018年10月,金門縣,9284807,0.45,7173377,0.3477,3966198,0.1922,208256,0.0101,20632638,0.234227454
2018年10月,連江縣,1576634,0.3644,1796604,0.4153,927453,0.2144,25849,0.006,4326540,0.049116087
2018年10月,合計,4466387314,0.507,3452253134,0.3919,620132449,0.0704,270031386,0.0307,8808804283,100
2018年09月,新北市,976781757,0.5848,627336284,0.3756,64168268,0.0384,1983080,0.0012,1670269389,16.79339643
2018年09月,台北市,641069996,0.4009,814567858,0.5094,141740570,0.0886,1829939,0.0011,1599208363,16.07892726
2018年09月,桃園市,448662538,0.5093,373162769,0.4236,55519948,0.063,3516107,0.004,880861362,8.856448036
2018年09月,台中市,622591916,0.4909,564279886,0.4449,66086809,0.0521,15232540,0.012,1268191151,12.75077954
2018年09月,台南市,380321292,0.5385,242501243,0.3434,44387535,0.0628,39050457,0.0553,706260527,7.100958139
2018年09月,高雄市,620729152,0.5494,400858593,0.3548,86525458,0.0766,21784431,0.0193,1129897634,11.36033446
2018年09月,宜蘭縣,97596543,0.5222,67754756,0.3625,13765067,0.0737,7771773,0.0416,186888139,1.879030189
2018年09月,新竹縣,123974037,0.5738,77186354,0.3572,12882701,0.0596,2021288,0.0094,216064380,2.17237699
2018年09月,苗栗縣,120937513,0.6165,59675534,0.3042,12768280,0.0651,2794107,0.0142,196175434,1.972407478
2018年09月,彰化縣,244935338,0.5409,138524793,0.3059,24373723,0.0538,45013384,0.0994,452847238,4.553063859
2018年09月,南投縣,73712445,0.5108,48453986,0.3357,11430016,0.0792,10719697,0.0743,144316144,1.450998404
2018年09月,雲林縣,136387668,0.5326,64352832,0.2513,15869411,0.062,39468488,0.1541,256078399,2.574690107
2018年09月,嘉義縣,91878681,0.5453,37970573,0.2254,14222988,0.0844,24409103,0.1449,168481345,1.693962684
2018年09月,屏東縣,158624196,0.5033,75819144,0.2406,20308176,0.0644,60411416,0.1917,315162932,3.168743971
